SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 16.3, 1, 1, 0, 0, 1, 
1, 243, 19.2, 0, 0, 0, 0, 1, 
1, 244, 13.1, 0, 0, 0, 0, 1, 
1, 245, 13.6, 0, 0, 0, 0, 1, 
1, 246, 12.5, 0, 0, 0, 0, 1, 
1, 247, 19.3, 0, 0, 0, 0, 1, 
1, 248, 22.3, 0, 0, 0, 0, 1, 
1, 249, 20.9, 0, 0, 0, 0, 1, 
1, 250, 30.3, 0, 0, 0, 0, 1, 
1, 251, 43.2, 0, 0, 1, 1, 2, 
1, 252, 33, 0, 0, 0, 0, 2, 
1, 253, 25.1, 0, 0, 0, 0, 2, 
1, 254, 25.8, 0, 0, 0, 0, 2, 
1, 255, 23.7, 0, 0, 0, 0, 2, 
1, 256, 24.3, 0, 0, 0, 0, 2, 
1, 257, 24, 0, 0, 0, 0, 2, 
1, 258, 20.8, 0, 0, 0, 0, 2, 
1, 259, 22.2, 0, 0, 0, 0, 2, 
1, 260, 21.6, 0, 0, 0, 0, 2, 
1, 261, 20, 0, 0, 0, 0, 2, 
1, 262, 0.9, 0, 0, 0, 0, 2, 
2, 262, 0.7, 0, 0, 1, 0, 0, 
4, 178, 0, 0, 0, 1, 0, 0, 
4, 245, 26.5, 0, 0, 1, 1, 1, 
4, 246, 22.1, 0, 0, 0, 0, 1, 
4, 247, 21, 0, 0, 0, 0, 1, 
4, 248, 21.3, 1, 1, 0, 0, 2, 
4, 249, 22.3, 0, 0, 0, 0, 2, 
4, 250, 26, 0, 0, 0, 0, 2, 
4, 251, 22.8, 0, 0, 0, 0, 2, 
4, 252, 16.9, 0, 0, 0, 0, 2, 
4, 253, 13.3, 0, 0, 0, 0, 2, 
4, 254, 13.2, 0, 0, 0, 0, 1, 
4, 255, 13.9, 0, 0, 0, 0, 1, 
4, 256, 15.6, 0, 0, 0, 0, 1, 
4, 257, 14.5, 0, 0, 0, 0, 1, 
4, 258, 16.9, 0, 0, 0, 0, 1, 
4, 259, 17.3, 0, 0, 0, 0, 1, 
4, 260, 19.4, 0, 0, 0, 0, 1, 
4, 261, 4.2, 0, 0, 0, 0, 1, 
9, 181, 1.4, 0, 0, 1, 0, 0, 
10, 162, 9.2, 0, 0, 1, 1, 1, 
11, 228, 0.6, 1, 0, 0, 0, 0, 
12, 234, 13, 0, 0, 1, 0, 0, 
16, 145, 11, 1, 1, 0, 0, 1, 
16, 146, 11.7, 0, 0, 0, 0, 1, 
16, 147, 6.8, 0, 0, 0, 0, 1, 
16, 148, 5.8, 0, 0, 0, 0, 1, 
17, 105, 4.1, 0, 0, 1, 0, 0, 
17, 250, 30.3, 0, 0, 1, 1, 1, 
17, 251, 43.2, 0, 0, 0, 0, 1, 
17, 252, 33, 0, 0, 0, 0, 1, 
17, 253, 25.1, 0, 0, 0, 0, 1, 
17, 254, 25.8, 0, 0, 0, 0, 1, 
17, 255, 23.7, 0, 0, 0, 0, 1, 
17, 256, 24.3, 0, 0, 0, 0, 1, 
17, 257, 24, 0, 0, 0, 0, 1, 
17, 258, 20.8, 0, 0, 0, 0, 1, 
17, 259, 22.2, 0, 0, 0, 0, 1, 
17, 260, 21.6, 0, 0, 0, 0, 1, 
17, 261, 20, 0, 0, 0, 0, 1, 
17, 262, 0.9, 0, 0, 0, 0, 1, 
22, 197, 15, 0, 0, 1, 1, 1, 
22, 198, 20.8, 0, 0, 0, 0, 1, 
22, 199, 25.2, 0, 0, 0, 0, 1, 
22, 200, 20.1, 0, 0, 0, 0, 1, 
22, 201, 5.6, 0, 0, 0, 0, 1, 
22, 216, 11.9, 0, 0, 1, 1, 1, 
22, 217, 15.6, 0, 0, 0, 0, 1, 
22, 218, 16.7, 0, 0, 0, 0, 1, 
22, 219, 15.3, 0, 0, 0, 0, 1, 
23, 90, 4.2, 0, 0, 1, 0, 0, 
23, 170, 0, 1, 0, 0, 0, 0, 
24, 29, 0, 0, 0, 1, 0, 0, 
25, 114, 0, 0, 0, 1, 0, 0, 
28, 141, 0, 0, 0, 1, 0, 0, 
29, 293, 0, 0, 0, 1, 0, 0, 
31, 267, 22.4, 1, 1, 0, 0, 1, 
31, 268, 21.5, 0, 0, 0, 0, 1, 
31, 269, 24.5, 0, 0, 0, 0, 1, 
31, 270, 16.9, 0, 0, 0, 0, 1, 
31, 271, 14.8, 0, 0, 0, 0, 1, 
31, 272, 28.5, 0, 0, 0, 0, 1, 
31, 273, 9.6, 0, 0, 0, 0, 1, 
35, 205, 12.1, 0, 0, 1, 1, 1, 
35, 206, 12.8, 0, 0, 0, 0, 1, 
35, 207, 16.3, 0, 0, 0, 0, 1, 
35, 208, 18.8, 0, 0, 0, 0, 1, 
35, 209, 19, 0, 0, 0, 0, 1, 
35, 210, 22.6, 0, 0, 0, 0, 1, 
35, 211, 25.1, 0, 0, 0, 0, 1, 
35, 212, 25.9, 0, 0, 0, 0, 1, 
35, 213, 31.3, 0, 0, 0, 0, 1, 
35, 214, 24.2, 0, 0, 0, 0, 1, 
35, 215, 25.9, 0, 0, 0, 0, 1, 
35, 216, 25.1, 0, 0, 0, 0, 1, 
35, 217, 12.6, 0, 0, 0, 0, 1, 
35, 218, 12.5, 0, 0, 0, 0, 1, 
35, 219, 13.6, 0, 0, 0, 0, 1, 
35, 220, 19.3, 0, 0, 0, 0, 1, 
35, 221, 25.2, 0, 0, 0, 0, 1, 
35, 222, 25.7, 0, 0, 0, 0, 1, 
35, 223, 18.2, 0, 0, 0, 0, 1, 
35, 224, 20.9, 0, 0, 0, 0, 1, 
35, 225, 19.8, 0, 0, 0, 0, 1, 
35, 226, 16.2, 0, 0, 0, 0, 1, 
35, 227, 16, 0, 0, 0, 0, 1, 
35, 228, 18.3, 0, 0, 0, 0, 1, 
35, 229, 22.3, 0, 0, 0, 0, 1, 
35, 230, 28.3, 0, 0, 0, 0, 1, 
35, 231, 28.8, 0, 0, 0, 0, 1, 
35, 232, 20.9, 0, 0, 0, 0, 1, 
35, 233, 12.9, 0, 0, 0, 0, 1, 
